"","V1"
"2642",1
"2645",1
"2647",7
"2651",1
"2653",6
"2656",4
"2658",8
"2659",10
"2660",11
"2661",2
"2663",2
"2664",1
"2666",7
"2669",1
"2671",6
"2672",1
"2674",11
"2675",2
"2676",4
"2677",3
"2681",1
"2682",6
"2683",9
"2684",13
"2685",11
"2687",6
"2689",12
"2690",7
"2692",2
"2693",1
"2696",3
"2697",7
"2698",4
"2699",2
"2700",1
"2701",11
"2702",3
"2704",4
"2705",10
"2707",1
"2711",8
"2712",12
"2713",13
"2714",4
"2715",9
"2718",8
"2719",11
"2720",2
"2723",3
"2725",4
"2731",7
"2733",5
"2734",4
"2735",9
"2737",8
"2738",10
"2739",3
"2741",6
"2743",12
"2744",3
"2745",2
"2749",1
"2752",4
"2753",4
"2754",5
"2755",12
"2756",13
"2758",4
"2759",3
"2763",10
"2764",7
"2766",7
"2768",9
"2769",5
"2770",5
"2771",1
"2772",6
"2773",1
"2774",9
"2776",7
"2777",11
"2778",3
"2779",13
"2783",1
"2784",1
"2785",6
"2786",7
"2787",10
"2788",1
"2790",10
"2792",10
"2793",7
"2796",5
"2797",2
"2799",3
"2800",6
"2801",1
"2804",6
"2808",2
"2809",1
"2810",11
"2811",3
"2816",1
"2818",5
"2819",12
"2813",9
"2814",2
"2820",4
"2822",6
"2823",4
"2824",1
"2825",2
"2826",3
"2827",12
"2828",1
"2829",1
"2830",3
"2834",3
"6181",4
"6182",1
"6183",4
"6184",1
"6185",11
"6188",9
"6190",11
"6191",5
"6196",6
"6214",9
"6216",2
"6227",7
"6244",8
"6247",1
"2419",1
"6093",1
"6097",6
"6265",1
"6091",2
"6081",6
"6101",8
"6105",12
"2421",3
"6114",2
"6112",2
"2425",7
"2446",3
"6128",1
"6139",2
"2493",8
"2494",12
"5981",3
"5984",8
"5992",1
"5997",7
"6010",13
"6011",11
"6157",1
"6171",2
"6172",2
"6003",7
"6160",5
"6178",4
"2497",3
"6018",2
"6019",9
"6032",1
"6053",5
"6056",11
"6020",2
"6046",1
"6043",10
"6052",8
"6055",2
"6021",2
"6075",1
"6070",4
"2504",4
"2505",2
"2508",4
"2512",6
"3776",5
"3791",7
"3794",10
"3796",8
"3798",3
"6059",5
"3782",5
"6063",13
"3781",4
"6066",2
"2529",1
"3803",2
"3814",5
"3823",10
"3825",8
"3827",5
"3829",4
"3840",12
"3849",10
"3851",2
"3853",5
"3855",2
"3866",5
"3869",5
"3875",10
"3877",7
"3879",5
"3881",2
"3892",5
"3901",10
"3903",7
"3905",5
"3914",2
"3922",12
"3924",1
"3925",5
"3906",5
"3920",4
"3826",3
"3852",9
"3878",3
"3904",1
"3910",6
"2540",11
"2543",5
"2550",11
"2553",1
"3940",11
"3943",1
"3948",5
"3954",2
"3949",3
"3959",10
"3953",8
"3945",1
"3933",2
"2563",2
"2568",3
"2573",7
"2574",1
"2588",4
"2591",11
"2596",7
"2597",6
"2607",3
"2611",1
"2618",4
"2620",5
"2622",6
"2623",10
"2628",7
"2643",3
"2646",6
"2650",1
"2665",5
"2667",9
"2668",7
"2670",2
"2673",4
"2678",4
"2679",12
"2686",5
"2691",2
"2695",3
"2706",9
"2708",1
"2709",1
"2710",6
"2717",2
"2724",6
"2726",11
"2728",8
"2729",2
"2730",1
"2742",11
"2747",4
"2748",2
"2750",11
"2760",4
"2765",1
"2767",2
"2780",5
"2789",8
"2791",4
"2794",1
"2795",4
"2802",1
"2803",8
"2806",1
"2807",3
"2812",11
"2817",3
"2821",5
"6180",4
"6186",6
"6187",8
"6189",3
"6224",6
"6234",10
"6236",8
"6250",1
"6098",8
"6260",1
"6270",1
"6268",4
"6272",7
"6083",11
"6100",13
"6267",4
"2434",9
"2456",7
"2463",3
"2465",3
"6126",4
"6138",12
"6141",1
"2470",4
"2471",3
"5982",1
"6173",3
"6004",1
"6001",2
"6168",5
"6026",1
"6031",7
"3775",8
"3777",10
"3774",5
"3790",7
"2521",5
"2530",12
"3809",7
"3835",7
"3861",7
"3887",7
"3807",7
"3833",4
"3859",4
"3885",4
"3816",6
"3842",9
"3868",6
"3894",7
"3810",9
"3836",3
"3862",4
"3888",9
"3815",8
"3841",9
"3867",3
"3893",8
"2551",11
"3942",3
"3955",1
"3963",5
"2578",10
"2629",6
