"","V1"
"2642",2
"2645",1
"2647",7
"2651",10
"2653",9
"2656",7
"2658",3
"2659",10
"2660",5
"2661",2
"2663",1
"2664",3
"2666",7
"2669",2
"2671",3
"2672",4
"2674",5
"2675",1
"2676",1
"2677",6
"2681",2
"2682",1
"2683",1
"2684",12
"2685",5
"2687",1
"2689",7
"2690",3
"2692",1
"2693",3
"2696",4
"2697",10
"2698",2
"2699",10
"2700",10
"2701",3
"2702",7
"2704",5
"2705",5
"2707",4
"2711",5
"2712",2
"2713",1
"2714",10
"2715",7
"2718",5
"2719",5
"2720",2
"2723",11
"2725",11
"2731",10
"2733",1
"2734",5
"2735",7
"2737",12
"2738",5
"2739",3
"2741",5
"2743",2
"2744",3
"2745",1
"2749",2
"2752",2
"2753",6
"2754",2
"2755",2
"2756",1
"2758",6
"2759",4
"2763",2
"2764",2
"2766",2
"2768",3
"2769",2
"2770",4
"2771",9
"2772",1
"2773",5
"2774",1
"2776",11
"2777",11
"2778",6
"2779",1
"2783",11
"2784",2
"2785",1
"2786",8
"2787",9
"2788",9
"2790",10
"2792",7
"2793",5
"2796",5
"2797",1
"2799",5
"2800",4
"2801",8
"2804",8
"2808",1
"2809",8
"2810",3
"2811",9
"2816",10
"2818",1
"2819",3
"2813",3
"2814",1
"2820",1
"2822",1
"2823",6
"2824",2
"2825",3
"2826",2
"2827",2
"2828",1
"2829",4
"2830",3
"2834",1
"6181",5
"6182",10
"6183",12
"6184",10
"6185",5
"6188",2
"6190",5
"6191",10
"6196",2
"6214",11
"6216",3
"6227",9
"6244",2
"6247",1
"2419",9
"6093",2
"6097",1
"6265",9
"6091",1
"6081",4
"6101",2
"6105",1
"2421",3
"6114",2
"6112",1
"2425",1
"2446",5
"6128",6
"6139",1
"2493",12
"2494",9
"5981",6
"5984",9
"5992",10
"5997",3
"6010",5
"6011",5
"6157",3
"6171",8
"6172",1
"6003",4
"6160",3
"6178",6
"2497",9
"6018",8
"6019",4
"6032",10
"6053",5
"6056",5
"6020",6
"6046",6
"6043",4
"6052",5
"6055",4
"6021",1
"6075",6
"6070",12
"2504",3
"2505",6
"2508",6
"2512",8
"3776",1
"3791",4
"3794",1
"3796",1
"3798",2
"6059",5
"3782",4
"6063",7
"3781",6
"6066",1
"2529",1
"3803",3
"3814",9
"3823",1
"3825",1
"3827",8
"3829",3
"3840",9
"3849",2
"3851",1
"3853",6
"3855",5
"3866",2
"3869",7
"3875",1
"3877",1
"3879",6
"3881",3
"3892",3
"3901",1
"3903",1
"3905",8
"3914",3
"3922",2
"3924",10
"3925",6
"3906",2
"3920",9
"3826",3
"3852",3
"3878",6
"3904",3
"3910",8
"2540",5
"2543",9
"2550",5
"2553",1
"3940",5
"3943",1
"3948",1
"3954",1
"3949",2
"3959",12
"3953",4
"3945",7
"3933",3
"2563",3
"2568",10
"2573",1
"2574",2
"2588",2
"2591",5
"2596",1
"2597",2
"2607",1
"2611",1
"2618",3
"2620",8
"2622",2
"2623",1
"2628",6
"2643",1
"2646",3
"2650",3
"2665",1
"2667",2
"2668",6
"2670",6
"2673",7
"2678",1
"2679",11
"2686",5
"2691",4
"2695",12
"2706",11
"2708",2
"2709",9
"2710",8
"2717",2
"2724",4
"2726",5
"2728",2
"2729",7
"2730",10
"2742",6
"2747",5
"2748",10
"2750",5
"2760",4
"2765",9
"2767",8
"2780",4
"2789",7
"2791",7
"2794",10
"2795",1
"2802",6
"2803",2
"2806",3
"2807",1
"2812",5
"2817",3
"2821",3
"6180",4
"6186",2
"6187",9
"6189",9
"6224",4
"6234",3
"6236",1
"6250",7
"6098",7
"6260",10
"6270",10
"6268",4
"6272",1
"6083",5
"6100",3
"6267",2
"2434",8
"2456",4
"2463",2
"2465",2
"6126",9
"6138",2
"6141",4
"2470",2
"2471",3
"5982",1
"6173",11
"6004",4
"6001",4
"6168",7
"6026",1
"6031",8
"3775",3
"3777",2
"3774",8
"3790",6
"2521",1
"2530",2
"3809",6
"3835",2
"3861",7
"3887",6
"3807",3
"3833",5
"3859",3
"3885",3
"3816",6
"3842",7
"3868",12
"3894",12
"3810",6
"3836",12
"3862",8
"3888",12
"3815",5
"3841",7
"3867",2
"3893",2
"2551",5
"3942",7
"3955",4
"3963",1
"2578",5
"2629",1
"2633",2
"2641",10
"2644",9
"2648",1
"2652",3
"2655",4
"2657",2
"2662",11
"2703",5
"2716",9
"2721",3
"2722",4
"2727",1
"2732",10
"2736",1
"2740",11
"2751",1
"2757",5
"2761",10
"2762",4
"2775",6
"2781",1
"2782",11
"2805",10
"2815",6
"2832",7
"2833",5
